id	filename	md5	size	state
eaee88e4-546b-42ff-8cc8-119d6def0df8	TCGA-EW-A1IW-01Z-00-DX1.0DE87057-951F-4887-A2D5-485736D66E4E.svs	fb6f1beb2d03c08aa32af24d34254d9b	2035153877	released
1a9a273a-3778-4db7-a802-018740fe0592	TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4.svs	00227a21ad99de06c5c569f2455eda1b	450587925	released
49278c78-18fd-4609-9b0b-a7ef89e8b3c1	TCGA-A2-A0EP-01Z-00-DX1.1180C406-5C18-4373-8621-1B7B70875113.svs	0c5419a371cd6f03fabd3c566b825904	627890703	released
121dcb2a-696d-476c-81c6-88484ffba8fa	TCGA-C8-A1HJ-01Z-00-DX1.745159F1-85E7-4CC0-B088-E1CA91916FB8.svs	afb19a7271df0927639c57c313068b65	959156633	released
77690547-045d-43c8-ad56-24cf534ccea8	TCGA-GM-A3NW-01Z-00-DX1.3B0324F0-4007-4390-AF26-3789A50684E5.svs	493855f41796a8e74b67b892264250b4	1328264647	released
3deb9b07-a88a-4401-a589-8cd721e16c9a	TCGA-B6-A0RQ-01Z-00-DX1.68B4F49D-9F81-4501-BC66-0349012077C8.svs	56e832529ca04493a62a410b295b001b	846469771	released
f4d00177-103c-40bf-9663-4913d28c2128	TCGA-19-0962-01Z-00-DX1.5e07aacc-4c4e-454f-8779-b35e654641e3.svs	78083841130b23f383ee75dd04a73a58	546864659	released
f5176f33-5a58-4c7b-a153-7f86f24feffd	TCGA-2Z-A9J5-01Z-00-DX1.ABD15820-58CA-4765-ACB3-6601FC5C9F24.svs	619823938d0587aa247cc87b8cf9ce8d	505448060	released
857df6ff-ad1d-40d2-9f77-0e4360760f9f	TCGA-06-6388-01Z-00-DX1.14c09c5f-3ea4-4e1e-a5e6-308325383165.svs	f59f7bab9a79583213921f3cb3100e53	356648259	released
d8128cd0-f515-4398-8548-5769ffd2578d	TCGA-G5-6233-01Z-00-DX1.86802633-c8f3-4d1e-85ab-f2ce2fe0a7ed.svs	89f43addc1d01dd67c9c2dec0c51a4a6	688588805	released
07f25417-689c-4db4-9251-a0bdb30fcba1	TCGA-2G-AAL5-01Z-00-DX1.5CD60797-6768-4AC9-BDF4-97346035BABE.svs	4d1e3a8bc2ecd3535f42ef892bc6c44d	1001657536	released
0f0c40e0-60a0-447c-abca-441261794c44	TCGA-4V-A9QW-01Z-00-DX1.AE4B6F79-56F4-4E48-B5B5-0709ACC991B1.svs	4b46f8ebdbc9d2dfd4e159571a384652	1771393667	released
562506d7-85f7-4fcc-a3c9-ca50a134c38d	TCGA-19-5955-01Z-00-DX1.ef448923-881d-47cd-89fd-261f0a1c7f49.svs	4c63bc0007f4929bc47eea18afdf25e3	482883569	released
f612292c-2067-4ec4-8e0c-7eb286cd05aa	TCGA-P5-A731-01Z-00-DX1.86F64744-416E-4645-B12F-D936E174CA2D.svs	ba65bc2317a32615ac8fea3aa3671314	998672043	released
0caca5bc-1494-4ba4-b809-1870de8dce9c	TCGA-41-5651-01Z-00-DX1.84aa5ff7-d54c-43d7-8f03-c9012d303926.svs	339f98c3fa66ec4501e6602198ec6f77	429126943	released
eccc298f-52b3-49a2-aa08-c81f3a8322ef	TCGA-D3-A2JN-06Z-00-DX1.0AA7684E-2886-4A00-B808-39EA790B825A.svs	3a4d2b9d0999745fd1268e2d7f3543c9	878751748	released
9d9d0e41-8036-4a4b-acb9-6dc443888be2	TCGA-FK-A3SG-01Z-00-DX1.79234024-8AD3-49F7-88FD-7E488CE77793.svs	a75ea8577481162277ce46f3ea54ba5d	1785582441	released
9038dc17-1e64-4e51-b1df-9ccb6f043953	TCGA-DD-AADK-01Z-00-DX1.85C2C328-8124-443A-A869-FEBA46EC6A20.svs	f07d5fbc1f8c5e4cc88df6be2cd05e6f	398149181	released
90dd9b2a-6620-438a-a8fd-f88259a05073	TCGA-IF-A3RQ-01Z-00-DX1.674A974D-E775-48C1-B4F1-4671C4D1EF33.svs	222f33e12ce36b645e51fe93a10e141b	888591543	released
786b3365-6983-4aa0-bc0b-060679d5bce2	TCGA-FN-7833-01Z-00-DX1.0618fcef-d4fc-427f-bcb6-f46f903f6e4b.svs	f5f2f2d81d4d3408b2dea3ce5d1943ef	625512699	released
ce05e535-3ae5-4345-8bfa-35b139899a29	TCGA-EL-A3CY-01Z-00-DX1.135AF0A7-5BDB-4673-B863-F948CCF9A3A6.svs	1470248b6bdc3e1b2fe2ee3ae81df37b	604179893	released
9b3b790a-a4fd-4a41-aed5-04a389d0fda5	TCGA-BJ-A2N7-01Z-00-DX1.40C11DD3-6FF0-4D0D-8229-33DE2127686D.svs	98ba0dc3b77b8cf2e30dcab98d4ef216	1030695091	released
aaba44ba-3c73-4cf6-a63e-84b50379f437	TCGA-CE-A3MD-01Z-00-DX1.0CCB9625-0F74-433F-A59D-EFEB8AB7D55B.svs	7225d9fad9b601a37535d3b675300f75	1150798829	released
a8a9d4e2-f56d-42bc-af4c-01a5315c1f11	TCGA-B0-4810-01Z-00-DX1.c3874ffc-31ff-41c3-a474-48e2ff90783c.svs	af91ac1ff63547d75e1ca4596aa80e76	1337958877	released
654d2863-8fc5-4800-82bb-4a7441a0a6ed	TCGA-CV-7097-01Z-00-DX1.2B1116BD-7DC8-41BC-B17A-B2CD607C4CA3.svs	97aebdf4d6f48147ba8b52e04d388376	1411009167	released
d647d1bd-bc34-4813-be27-4d15c517aa48	TCGA-CE-A27D-01Z-00-DX1.D4DE758F-C0AC-4AEC-B905-767CAD4E7E86.svs	84c5d3480ab653b84456fc3c03e94d46	760149455	released
2bb5fb5c-b3c0-4082-82a2-dc7e351fc8ae	TCGA-YU-A90P-01Z-00-DX1.B2A4E17F-01C7-4BDA-81D8-3AD903A79572.svs	5300c660bb2f1dd299f0e17f9d37583f	1315693333	released
22733e94-d267-4327-99d0-6f5052d0980c	TCGA-XE-AAOL-01Z-00-DX1.41F340C6-7961-4F7E-AEE5-D33E818344E4.svs	b201cf9954f6fd9c2b869657f22c9f3e	3305881519	released
6284adda-78aa-4829-a7e6-87ef3f4fe34e	TCGA-UW-A72I-01Z-00-DX1.EAA44029-3390-4AEF-8B86-E4A1F64E486C.svs	75b83796d49bfcf42b616af453875908	863630794	released
846c00eb-fa73-43d7-a577-6649688888c1	TCGA-B0-4827-01Z-00-DX1.c08eeafe-d2d4-41d1-a8f5-eacd1b0e601f.svs	3faeeda79eddc2e92651d28284569e9f	705948651	released
1969a97d-bfb6-4a58-8593-0fbb99381d71	TCGA-19-5959-01Z-00-DX1.86907dc7-c0ce-48e6-b67c-a3134f8b4aa2.svs	5911637c666822fb774e723011678ede	655498645	released
99e2bfbb-5fa1-4392-84dd-81091250b6a2	TCGA-CQ-6225-01Z-00-DX1.5e255e2e-9ef8-484b-8f46-3114c5cc92b2.svs	07bc5ed67b72b9422ca33730f13a6599	1946270698	released
fe9a09c8-52c4-4647-8cfb-60fa0b068f6c	TCGA-CN-6992-01Z-00-DX1.75827758-ac91-4532-8271-8b1a3d42843b.svs	4776815331e7cd5b0b10f5fcf1865e29	252749831	released
ad9a17c9-01de-45e8-b3e2-bafc10c2743e	TCGA-DC-5869-01Z-00-DX1.ca8ffa5b-3881-4741-b0e3-5084dd9df536.svs	80eefe97528532505f0e73a9bb104af7	1234123941	released
65cc1c96-c0db-4e5a-9e7e-0218dca27f8d	TCGA-NP-A5B3-01Z-00-DX1.6DE4C2C4-E135-4117-864D-2A477D6FDB86.svs	5542e9302beea978c56c720a3f25d2c7	134144490	released
d48d74e1-9083-4b2a-94fa-7afc1c5275b5	TCGA-XE-AANV-01Z-00-DX1.7F226054-D373-4C3F-8037-C5A5D8510F83.svs	8aa097aaf00b039aebbf49283444872f	2287993963	released
4f3bf4c3-ee16-49e3-bfbb-70a8e882502b	TCGA-UB-AA0V-01Z-00-DX1.FB59AF14-B425-488D-94FD-E999D4057468.svs	ec995fbd648778c266d2774717f765c4	2104892793	released
cd672894-1674-4f09-89c8-767e13ba3f83	TCGA-CE-A481-01Z-00-DX1.2CF5B07A-E6DE-4F3F-A00A-A55F2BBDA57C.svs	44be2a89bdda8ea084031c0f589d235a	902117476	released
efc1dbbd-7ce3-4f9a-83da-d8c897d7e5ad	TCGA-DJ-A4UL-01Z-00-DX1.60C4EF70-91EB-4F50-BE60-1ABB40AA2524.svs	a6c226e2cfff0877c5749081e6670e82	1553085555	released
26a73bd1-e977-4b6c-a0dc-289db26dcb61	TCGA-V4-A9F7-01Z-00-DX1.EDC25B84-ADFA-4216-8640-12A15E2AC08A.svs	ed5d11a93b8f44065b98aed926741d49	823243365	released
1b3e7310-f11c-4964-ba7a-6331f415bf02	TCGA-XF-A9T5-01Z-00-DX1.B0A44AF2-B075-4280-809E-DDACCDB20E3D.svs	571c0b9d40c6fb77c342dc7b04180f39	1277843669	released
2b3d7ee0-dbef-4306-8190-c5ed3ee710b1	TCGA-A4-7584-01Z-00-DX1.ffa7e13e-0ed8-4913-a0f0-51b36f4d858c.svs	1f6ff10ed2c1e24aae5553223d49295f	374094507	released
4098031e-e0dd-4c75-8023-47601e773aca	TCGA-85-8049-01Z-00-DX1.59554c0f-d04a-41f2-b152-654a848b0443.svs	dfb30039cc6f62ecda257b41a81323c5	365033291	released
ea279296-0f94-4f6e-90e5-9653e6f10490	TCGA-43-6770-01Z-00-DX1.466dd07f-b147-48bb-9349-fe1f5f3bcae5.svs	a61804369481a0ad8942472aaffe0ba9	314236349	released
d99d01c6-1feb-43f6-ab7e-6cc128e11727	TCGA-P3-A6T8-01Z-00-DX1.E3B6BA9A-3E96-4CCD-9C0F-52E9D27F1350.svs	41eada979ab14188f639e731eed34e52	4090527960	released
02cd6ae9-e61f-43f2-866c-24bf15a47fdf	TCGA-DU-8158-01Z-00-DX1.04fe31d7-0a47-4f5e-a6f5-28974dea86b4.svs	8cc8a4f07f9be7fb6c5f481d9404172d	236857663	released
9ff8c055-e4dd-449b-8994-314841f0b470	TCGA-HB-A5W3-01Z-00-DX1.E8131962-95E9-400B-909D-CD3C2258CC7E.svs	210be5ffb15f7d3d72948f5d478574dc	710433200	released
8f814b6e-85b7-4456-ba3c-4b8de83b9005	TCGA-DM-A28E-01Z-00-DX1.4381ffe6-3918-4fdd-b192-000f2b737b22.svs	1055ea287144a869fb21894b1fdedefb	1389916197	released
7f0ed5ed-a216-44b1-bf66-1160c69e8ad0	TCGA-W3-A824-06Z-00-DX1.29C5C32A-10D0-44C9-A54A-6568BC8DDBC8.svs	c9f4a30a023c19dbd8a20d154a724592	1621438839	released
0500bfd8-7f85-463e-a46c-d0628cfebfca	TCGA-BR-6453-01Z-00-DX1.2e52d64c-e34f-47a9-9e5e-8954b5ef18ca.svs	0876220498ae572830c585775cb5b099	421599751	released
bcaf326e-748e-4cd9-8aeb-47659f0fa380	TCGA-CD-A4MI-01Z-00-DX1.67267177-498C-4835-A95A-FF8C2A9DDB97.svs	f54f4e324aeed2a4c0207e7a11f8b8e6	998722728	released
cd350a29-34da-4d37-8ee5-dde7b548b012	TCGA-66-2765-01Z-00-DX1.c9d8b0f7-b2c8-45ea-8bd1-81e231fd6e91.svs	3b28676ef47a7ab548abe0f21f5f9ea8	140236651	released
f5ec7dc4-ffbf-40df-bbe1-3867e5948fe4	TCGA-66-2800-01Z-00-DX1.19a7cec8-8894-4755-aa2c-ae5266800355.svs	3ae13562e8b15523821a6cb4fcda9b5c	79744695	released
0308918c-7a61-419c-b3ff-66c82be03fd4	TCGA-BR-A4J1-01Z-00-DX1.B4F9F7D6-174B-42C9-AFFF-A088398F18EA.svs	dfca9db431948dd728d0d0dcdaaa4661	1526743079	released
57fd0bd9-6d59-4bfc-bec9-8e10ec969df7	TCGA-HU-A4GH-01Z-00-DX1.0BACDE08-5613-428E-BDBE-F2D0D80FD0E4.svs	78aec008c4047e10f4b7af14d05638cf	54341868	released
d4faf614-22f9-48e8-96c8-972887f80e83	TCGA-85-A510-01Z-00-DX1.F51CBC2D-EAD4-48B8-9444-C864012562F4.svs	8c292e6e953c11c11d9778874775bc83	1378683569	released
16829d0d-876a-4099-aca0-28b8368be99d	TCGA-85-A512-01Z-00-DX1.154BBD51-803C-46F0-840E-D2597E648365.svs	a52663c653769069f68b12ce51bfd519	574614243	released
323a81e7-c78f-4c27-a1a9-20c6d56f2a8b	TCGA-DH-A7UR-01Z-00-DX1.CD0C3921-255F-4415-BE61-240068DD1C9D.svs	718c91968bfb8105994b710cfee204bd	1748495645	released
d672c243-a62c-4dea-847e-b5910f7b6847	TCGA-DX-A23T-01Z-00-DX1.AEFA32EC-6E45-471F-A0F9-D891F1B25A22.svs	49e9b15b39d94aff0f49299dc6ce3bc3	2061424293	released
056d2492-bc09-4c54-bb1d-295e246c999a	TCGA-HS-A5NA-01Z-00-DX1.AF7E1292-ED65-400D-9F6E-B4369B044A6B.svs	ad1f2847fc4fe247e0cdc16aa42e130f	249689554	released
fbecb43e-0c23-4efc-b784-d361372a49fb	TCGA-2Z-A9J1-01Z-00-DX1.07E7992F-1AC5-4E34-8A4E-E5AB0A18EA46.svs	080b59c99108a070d479933e654341ff	728827752	released
71b9d0ad-e2a5-4a44-9251-cb4353b7a113	TCGA-GL-A4EM-01Z-00-DX1.40D84E7D-B7F9-40A8-B411-645403CB0B9E.svs	5556f91c8fdc215b66e4af7d4ac7255b	1178691853	released
9df70286-5b36-4feb-a125-91517e4670f6	TCGA-HE-A5NK-01Z-00-DX1.E2D22525-AF0E-4CC1-9893-FB1FB80800C3.svs	32559fab178972672666de49b293270f	390148626	released
